#ID	分类	Icon路径	<size=20>Line headings</size>	<size=20>Line item explanatory text</size>
h40202	402	TalentTree/Img_TalentTree_Soft.png	<size=20>Soft Talent</size>	<size=20>Soft Sense can bring a special ability called "Unleash", which when activated, can reduce a large amount of damage from the enemy, and at the same time, it can also be used as a "Power Off". Awareness will also create a lot of hate, so it is suitable for players who like to tank.</size>
h40203	402	TalentTree/Img_TalentTree_Fast.png	<size=20>Dynamic Awareness</size>	<size=20>Kinetic Gnosis can bring a special ability called "Combo", which when activated can restore a large amount of energy, allowing players to For those who like to move around the battlefield in a flexible manner, you can perform more actions.</size>
h40204	402	TalentTree/Img_TalentTree_Slow.png	<size=20>Quiet Insight</size>	<size=20>The special skill that Quiet Sense can bring you is "Counter Attack", which can automatically damage your enemies with a counter attack skill.</size>
h40205	402	TalentTree/Img_TalentTree_Clever.png	<size=20>Clever Talent</size>	<size=20>The special skill that Qiaosenshi can bring is "False Move", which can cause a lot of negative status to the enemy when activated. In addition to controlling the field and toying with the opponent's player, you will have a better intelligence and can gain experience points more easily.</size>
h40206	402	TalentTree/Img_TalentTree_Simple.png	<size=20>My humble opinion</size>	<size=20>It doesn't bring any special skills, but it can increase the distance between the player's basic physical strength, internal strength and martial arts moves.</size>
h50101	501		<size=20>World Map</size>	<size=20>The game map shows the player's current location, as well as the location of areas and villages, which can be accessed from the Select from the Tab menu, or use the shortcut key (preset M) to open the map.</size>
h50102	501		<size=20>Map scrolling</size>	<size=20>On the task interface, the map can be scrolled by dragging with the mouse, or when using the keyboard or game grip. Control the map scrolling.</size>
h50103	501		<size=20>Map zoom.</size>	<size=20>In the task interface, the mouse wheel, keyboard PageUp and PageDown, as well as the game grip, you can use the mouse wheel to scroll, the keyboard PageUp and PageDown. LT, RT buttons, you can zoom the scale of the map, make the map more convenient to view.</size>
h50104	501		<size=20>Mark locations</size>	<size=20>In the task interface, you can mark any location on the map with the right mouse button, and the marked location will also be marked on the map with the right mouse button. Displayed on the map bar or mini-map.</size>
h50105	501		<size=20>Map boundaries</size>	<size=20>If you inadvertently wander beyond the world's borders, you will be reminded to find another way.</size>
h50201	502		<size=20>Quest List</size>	<size=20>In the task interface, you can view the current task with details, including ongoing mainline, ongoing branch, completed task and Failed tasks, click on the category title to expand or collapse the task list, select the task to see the details of the task and task Stages Conducted.</size>
h50202	502		<size=20>Task difficulty rating.</size>	<size=20>Quests received by the player will be graded in white (easy), orange (normal), or red (difficult), Easy for the player to identify the difficulty of the mission.</size>
h50203	502		<size=20>Ongoing Mainline</size>	<size=20>Lists the main quests that the player has received.</size>
h50204	502		<size=20>Ongoing branch lines</size>	<size=20>Lists the list of branching quests that the player has received.</size>
h50205	502		<size=20>Completed Quests.</size>	<size=20>Lists the tasks that the player has completed.</size>
h50206	502		<size=20>Failed Missions</size>	<size=20>List of quests that the player has failed.</size>
h50207	502		<size=20>Mission marker.</size>	<size=20>Some ongoing tasks will have a location on the map, indicated by a yellow question mark, but not all. The location will be prompted, and the quests being tracked will be marked with a green flag.</size>
h50208	502		<size=20>Quest Tracking</size>	<size=20>Clicking on a quest in the quest list will track that quest, and it will be shown in the list of quests tracked. If the quest has a location hint, the map will also be scrolled to that location for the player to identify.</size>
h50209	502		<size=20>Time-bound quests</size>	<size=20>Some tasks are time-bound and failure to complete them within the time limit may result in failure. Some of the tasks also interact with day and night changes, and need to be completed at the corresponding time.</size>
h50301	503		<size=20>Horseman.</size>	<size=20>The player can find horsemen in some areas or villages, who can quickly transport the player to other areas, but The premise is that you can only teleport to areas where the player has been.</size>
h50302	503		<size=20>Teleportation Points</size>	<size=20>It is possible to teleport to the corresponding region on the teleported map. Only available in that area.</size>
h50303	503		<size=20>Transmission mechanism</size>	<size=20>Teleporting to other areas is free of charge and takes no time to play, and is suitable for players who travel long distances. Use it, but you may miss the beautiful scenery on your trip.</size>
h50401	504		<size=20>Location assistance</size>	<size=20>Players are free to choose the tools they want to use to aid in positioning, and the environment can be set up in such a way that the orientation bar can be used according to preference. or a mini-map to aid in positioning, but only one can be selected at a time.</size>
h50402	504		<size=20>Azimuth bar</size>	<size=20>The orientation bar will be displayed above the game interface, not only indicating orientation, but also areas, tasks, and markers. Location and other information to guide the player to the correct location and distance.</size>
h50403	504		<size=20>Mini Map</size>	<size=20>The mini-map will be displayed on the top right of the game interface, showing the player's location and surroundings, tasks, and the game interface. The map is also guided by information such as the location and marker locations.</size>
h60101	601		<size=20>Battle Mode</size>	<size=20>The game's combat system is turn-based chronological combat, where each combat unit contains action points (AP). The battle will not end until either the victory condition or the defeat condition is fulfilled, after each unit consumes its own action points to execute battle commands.</size>
h60102	601		<size=20>Turn Timing System</size>	<size=20>Rotate from left to right according to the order at the top of the combat port, with the sorting rules being based on each character's ability, Once the action points are used up, it will automatically end the unit's actions this turn, or the player can use the rest action to force the unit to end. The unit's action.</size>
h60103	601		<size=20>Timing change</size>	<size=20>Some skills may contain effects that change the timing, such as knockback timing that pushes back the order of units hit. There is a chance that the stun effect will render the unit inoperable that turn, and some skills that have a gain effect may also allow the player to get the next turn. Round's first phone will be.</size>
h60104	601	Battle2/Img_battle_AP4.png	<size=20>Action Points (AP)</size>	<size=20>Action points are the allowed value for each combat unit to execute combat commands, including movement, attack, use items, and Actions such as changing weapons consume action points. The ability value is affected by the ability, and some of the minus effects will also cause action points to change.</size>
h60105	601	Compass/Img_Tagged.png	<size=20>Movement</size>	<size=20>By default, each unit will be waiting for its turn to move, and the player can use the mouse, keyboard or the game to move it. The further you move, the more action points you gain. There is no limit to the number of times a character can move in a single turn in battle, so you can move freely until you run out of action points.</size>
h60106	601	Battle2/Img_unitqueue_attack.png	<size=20>Attack</size>	<size=20>Attack allows the player to select the target to attack and cause damage to the unit being hit. Select a skill from the skill bar below the interface, or press the corresponding shortcut key to select the skill you want to perform, and then select the target to attack, If the player has less action points than the skill requires, it cannot be used. There is no limit to the number of attack commands, so you can attack freely until you run out of action points.</size>
h60107	601	Battle2/Img_skillshortcut_item.png	<size=20>Using Items</size>	<size=20>The item command below the combat interface will open the player's backpack, which can be used for potions or Changing weapons, each action costs a different number of action points. Some battles may have rules that limit the number of times you can use potions, or even ban them.</size>
h60108	601	Battle2/Img_skillshortcut_skill.png	<size=20>Quick Change</size>	<size=20>The replace shortcut command at the bottom of the combat interface will open the list of player's trained kung fu, which can be used to replace the shortcut keys on the Skill settings, and do not need to spend action points, players can adjust the order of skills on the skill shortcut bar to their own preferences.</size>
h60109	601	Battle2/Img_skillshortcut_watting.png	<size=20>Waiting</size>	<size=20>The wait command below the combat interface allows the current combat unit's timing to be postponed. Action Points, but at the end of the turn the unit will return to its original chronological position.</size>
h60110	601	Battle2/Img_skillshortcut_reset.png	<size=20>Break.</size>	<size=20>A rest command at the bottom of the combat interface forces the unit to end its turn.</size>
h60201	602		<size=20>Stunt Value</size>	<size=20>Stunts are actions that automatically activate effects when the character accumulates special abilities in battle, such as blasts, blows, and other effects. Combos, counterattacks, unloads, virtual moves, etc.</size>
h60202	602	Battle2/Img_unitcontrol_critical.png	<size=20>Explosive Strike</size>	<size=20>When Blast is activated, it multiplies the damage output by a certain amount, so that the hit unit can take more damage.</size>
h60203	602	Battle2/Img_unitcontrol_combo.png	<size=20>Combo Attack</size>	<size=20>When a combo is initiated, it allows the caster to regain spent action points, allowing the unit to perform more... Directive.</size>
h60204	602	Battle2/Img_unitcontrol_CA.png	<size=20>Counterattack</size>	<size=20>Counterattack is launched when a unit is hit by damage, when launched, it will automatically hit back at the attacker.</size>
h60205	602	Battle2/Img_unitcontrol_release.png	<size=20>Unload</size>	<size=20>Unleash your strength when your unit takes damage, it will reduce the damage you take.</size>
